note_id,account_alias,crm_ready_summary,primary_follow_up_category,overall_priority,manual_review_required,reason_for_review,action_count
CRM-0016,Account-FQL-1016,Account-FQL-1016 requires 3 follow-up item(s) after demo follow-up. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0017,Account-FQL-1017,Account-FQL-1017 requires 3 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0018,Account-FQL-1018,Account-FQL-1018 requires 3 follow-up item(s) after demo follow-up. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0019,Account-FQL-1019,Account-FQL-1019 requires 3 follow-up item(s) after account review. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0020,Account-FQL-1020,Account-FQL-1020 requires 3 follow-up item(s) after technical clarification call. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0021,Account-FQL-1021,Account-FQL-1021 requires 2 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0022,Account-FQL-1022,Account-FQL-1022 requires 2 follow-up item(s) after sales call. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0023,Account-FQL-1023,Account-FQL-1023 requires 2 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0024,Account-FQL-1024,Account-FQL-1024 requires 2 follow-up item(s) after renewal check-in. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0025,Account-FQL-1025,Account-FQL-1025 requires 2 follow-up item(s) after demo follow-up. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0026,Account-FQL-1026,Account-FQL-1026 requires 2 follow-up item(s) after email summary. Primary focus is procurement vendor setup. Current blocker: CRM stage update. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0027,Account-FQL-1027,Account-FQL-1027 requires 2 follow-up item(s) after partner handover. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0028,Account-FQL-1028,Account-FQL-1028 requires 2 follow-up item(s) after email summary. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0029,Account-FQL-1029,Account-FQL-1029 requires 4 follow-up item(s) after email summary. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0030,Account-FQL-1030,Account-FQL-1030 requires 3 follow-up item(s) after partner handover. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0031,Account-FQL-1031,Account-FQL-1031 requires 3 follow-up item(s) after partner handover. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0032,Account-FQL-1032,Account-FQL-1032 requires 3 follow-up item(s) after demo follow-up. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0033,Account-FQL-1033,Account-FQL-1033 requires 3 follow-up item(s) after renewal check-in. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0034,Account-FQL-1034,Account-FQL-1034 requires 3 follow-up item(s) after technical clarification call. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0035,Account-FQL-1035,Account-FQL-1035 requires 2 follow-up item(s) after procurement update. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0036,Account-FQL-1036,Account-FQL-1036 requires 2 follow-up item(s) after partner handover. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0037,Account-FQL-1037,Account-FQL-1037 requires 2 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0038,Account-FQL-1038,Account-FQL-1038 requires 2 follow-up item(s) after renewal check-in. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0039,Account-FQL-1039,Account-FQL-1039 requires 2 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0040,Account-FQL-1040,Account-FQL-1040 requires 2 follow-up item(s) after internal pipeline review. Primary focus is procurement vendor setup. Current blocker: CRM stage update. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0041,Account-FQL-1041,Account-FQL-1041 requires 2 follow-up item(s) after partner handover. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0042,Account-FQL-1042,Account-FQL-1042 requires 2 follow-up item(s) after renewal check-in. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0043,Account-FQL-1043,Account-FQL-1043 requires 4 follow-up item(s) after account review. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0044,Account-FQL-1044,Account-FQL-1044 requires 3 follow-up item(s) after account review. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0045,Account-FQL-1045,Account-FQL-1045 requires 3 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0046,Account-FQL-1046,Account-FQL-1046 requires 3 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0047,Account-FQL-1047,Account-FQL-1047 requires 3 follow-up item(s) after account review. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0048,Account-FQL-1048,Account-FQL-1048 requires 3 follow-up item(s) after partner handover. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0049,Account-FQL-1049,Account-FQL-1049 requires 2 follow-up item(s) after partner handover. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0050,Account-FQL-1050,Account-FQL-1050 requires 2 follow-up item(s) after technical clarification call. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0051,Account-FQL-1051,Account-FQL-1051 requires 2 follow-up item(s) after account review. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0052,Account-FQL-1052,Account-FQL-1052 requires 2 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0053,Account-FQL-1053,Account-FQL-1053 requires 2 follow-up item(s) after email summary. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0054,Account-FQL-1054,Account-FQL-1054 requires 2 follow-up item(s) after procurement update. Primary focus is procurement vendor setup. Current blocker: CRM stage update. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0055,Account-FQL-1055,Account-FQL-1055 requires 2 follow-up item(s) after demo follow-up. Primary focus is technical clarification. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0056,Account-FQL-1056,Account-FQL-1056 requires 2 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0057,Account-FQL-1057,Account-FQL-1057 requires 4 follow-up item(s) after email summary. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0058,Account-FQL-1058,Account-FQL-1058 requires 3 follow-up item(s) after email summary. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0059,Account-FQL-1059,Account-FQL-1059 requires 3 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0060,Account-FQL-1060,Account-FQL-1060 requires 3 follow-up item(s) after account review. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0061,Account-FQL-1061,Account-FQL-1061 requires 3 follow-up item(s) after partner handover. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0062,Account-FQL-1062,Account-FQL-1062 requires 3 follow-up item(s) after internal pipeline review. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0063,Account-FQL-1063,Account-FQL-1063 requires 2 follow-up item(s) after renewal check-in. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0064,Account-FQL-1064,Account-FQL-1064 requires 2 follow-up item(s) after email summary. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0065,Account-FQL-1065,Account-FQL-1065 requires 2 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0066,Account-FQL-1066,Account-FQL-1066 requires 2 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0067,Account-FQL-1067,Account-FQL-1067 requires 2 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0068,Account-FQL-1068,Account-FQL-1068 requires 2 follow-up item(s) after account review. Primary focus is procurement vendor setup. Current blocker: CRM stage update. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0069,Account-FQL-1069,Account-FQL-1069 requires 2 follow-up item(s) after account review. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0070,Account-FQL-1070,Account-FQL-1070 requires 2 follow-up item(s) after internal pipeline review. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0071,Account-FQL-1071,Account-FQL-1071 requires 4 follow-up item(s) after demo follow-up. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0072,Account-FQL-1072,Account-FQL-1072 requires 3 follow-up item(s) after partner handover. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0073,Account-FQL-1073,Account-FQL-1073 requires 3 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0074,Account-FQL-1074,Account-FQL-1074 requires 3 follow-up item(s) after internal pipeline review. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0075,Account-FQL-1075,Account-FQL-1075 requires 3 follow-up item(s) after email summary. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0076,Account-FQL-1076,Account-FQL-1076 requires 3 follow-up item(s) after renewal check-in. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0077,Account-FQL-1077,Account-FQL-1077 requires 2 follow-up item(s) after renewal check-in. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0078,Account-FQL-1078,Account-FQL-1078 requires 2 follow-up item(s) after email summary. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0079,Account-FQL-1079,Account-FQL-1079 requires 2 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0080,Account-FQL-1080,Account-FQL-1080 requires 2 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0081,Account-FQL-1081,Account-FQL-1081 requires 2 follow-up item(s) after renewal check-in. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0082,Account-FQL-1082,Account-FQL-1082 requires 2 follow-up item(s) after account review. Primary focus is procurement vendor setup. Current blocker: CRM stage update. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0083,Account-FQL-1083,Account-FQL-1083 requires 2 follow-up item(s) after email summary. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0084,Account-FQL-1084,Account-FQL-1084 requires 2 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0085,Account-FQL-1085,Account-FQL-1085 requires 4 follow-up item(s) after sales call. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0086,Account-FQL-1086,Account-FQL-1086 requires 3 follow-up item(s) after renewal check-in. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0087,Account-FQL-1087,Account-FQL-1087 requires 3 follow-up item(s) after sales call. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0088,Account-FQL-1088,Account-FQL-1088 requires 3 follow-up item(s) after renewal check-in. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0089,Account-FQL-1089,Account-FQL-1089 requires 3 follow-up item(s) after email summary. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0090,Account-FQL-1090,Account-FQL-1090 requires 3 follow-up item(s) after renewal check-in. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is Medium; manual review: No.,demo_pilot,Medium,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0091,Account-FQL-1091,Account-FQL-1091 requires 2 follow-up item(s) after account review. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0092,Account-FQL-1092,Account-FQL-1092 requires 2 follow-up item(s) after procurement update. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0093,Account-FQL-1093,Account-FQL-1093 requires 2 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0094,Account-FQL-1094,Account-FQL-1094 requires 2 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0095,Account-FQL-1095,Account-FQL-1095 requires 2 follow-up item(s) after internal pipeline review. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0096,Account-FQL-1096,Account-FQL-1096 requires 2 follow-up item(s) after demo follow-up. Primary focus is technical clarification. Current blocker: CRM stage update. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0097,Account-FQL-1097,Account-FQL-1097 requires 2 follow-up item(s) after sales call. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0098,Account-FQL-1098,Account-FQL-1098 requires 2 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0099,Account-FQL-1099,Account-FQL-1099 requires 4 follow-up item(s) after email summary. Primary focus is technical clarification. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0100,Account-FQL-1100,Account-FQL-1100 requires 3 follow-up item(s) after demo follow-up. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
