action_id,note_id,action_text,suggested_owner,timing_reference,due_date_iso,priority,follow_up_category,blocker_dependency,confidence,manual_review_required,supporting_text
ACT-0009-01,CRM-0009,"Pricing range, implementation timeline and whether CRM sync works with their current setup",AE,,,Medium,technical_clarification,Early-stage info request,Medium,Yes,"Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup."
ACT-0009-02,CRM-0009,Send intro pack and rough pricing band; SE only needed if they reply with connector details,AE,,,Medium,technical_clarification,Early-stage info request,Medium,Yes,AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.
ACT-0010-01,CRM-0010,Quarterly payments; current quote assumes annual upfront,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Customer wants quarterly payments; current quote assumes annual upfront.
ACT-0010-02,CRM-0010,Contract start date to align with July 1,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Also asked for contract start date to align with July 1.
ACT-0011-01,CRM-0011,Notes from last year mention integration gap but current buyer says they only need reporting module now,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Notes from last year mention integration gap but current buyer says they only need reporting module now.
ACT-0011-02,CRM-0011,Confirm use case in writing and ask if previous security review can be reused,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Need AE to confirm use case in writing and ask if previous security review can be reused.
ACT-0012-01,CRM-0012,Update stage and,AE,today,2026-04-13,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0012-02,CRM-0012,Upload latest email proof,AE,today,2026-04-13,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0013-01,CRM-0013,'automation + dashboards',AE,,,Medium,account_research,Insufficient partner context,Medium,Yes,Partner says client wants 'automation + dashboards' but no exact workflow captured.
ACT-0013-02,CRM-0013,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting,AE,,,Medium,account_research,Insufficient partner context,Medium,Yes,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting.
ACT-0014-01,CRM-0014,Send technical sheet by Fri and,AE-01,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0014-02,CRM-0014,Share revised commercial pack after that,AE-01,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0015-01,CRM-0015,A shorter workflow demo using their renewal example,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Demo recap - buying team asked for a shorter workflow demo using their renewal example.
ACT-0015-02,CRM-0015,Send a 1-page recap,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0015-03,CRM-0015,Confirm whether connector setup needs admin rights,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0015-04,CRM-0015,Keep pricing out of the recap email,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Also asked to keep pricing out of the recap email.
ACT-0016-01,CRM-0016,Need billing clarification before renewal quote is reissued,AE,by Wednesday,2026-04-22,High,renewal_commercial,Billing clarification,High,No,Need billing clarification before renewal quote is reissued.
ACT-0016-02,CRM-0016,Send renewal proposal by Wednesday if billing confirms,AE,by Wednesday,2026-04-22,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms.
ACT-0016-03,CRM-0016,Final numbers before month-end,AE,month-end,2026-04-30,High,renewal_commercial,Billing clarification,High,No,Customer wants final numbers before month-end.
ACT-0017-01,CRM-0017,Customer references from similar healthcare operations accounts and want a simple ROI summary,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,They asked for customer references from similar healthcare operations accounts and want a simple ROI summary.
ACT-0017-02,CRM-0017,Annual billing is mandatory,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,"No pricing objection yet, but procurement asked if annual billing is mandatory."
ACT-0017-03,CRM-0017,Follow up next Tue,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,Follow up next Tue.
ACT-0018-01,CRM-0018,Send new quote today,AE,today,2026-04-20,High,pricing_quote,Quote revision,High,Yes,AE should send new quote today.
ACT-0018-02,CRM-0018,"Answer hosting region question, not urgent",AE,not urgent,,High,pricing_quote,Quote revision,Medium,Yes,"SE maybe needs to answer hosting region question, not urgent."
ACT-0018-03,CRM-0018,Follow-up call tentatively Friday 4pm,AE,Friday 4pm,2026-04-24,High,pricing_quote,Quote revision,High,Yes,Follow-up call tentatively Friday 4pm but not confirmed.
ACT-0019-01,CRM-0019,Complete vendor portal fields,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0019-02,CRM-0019,Tell champion that PO timeline depends on portal approval,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0019-03,CRM-0019,Confirmation once portal status changes,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,Customer wants confirmation once portal status changes.
ACT-0020-01,CRM-0020,Import template and sample dashboard config,SE,Thursday,2026-04-23,High,demo_pilot,Pilot enablement,High,No,Pilot users asked for import template and sample dashboard config.
ACT-0020-02,CRM-0020,Send import template before Thursday and,SE,Thursday,2026-04-23,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0020-03,CRM-0020,Schedule pilot check-in next week,SE,Thursday,2026-04-23,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0021-01,CRM-0021,Dashboard export sample and list of current API limits,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Customer asked for dashboard export sample and list of current API limits.
ACT-0021-02,CRM-0021,Also need internal decision on whether custom report is included in current package,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Also need internal decision on whether custom report is included in current package.
ACT-0022-01,CRM-0022,SOC2 report and subprocessor list,AE,tomorrow,2026-04-24,High,legal_security_review,DPA closure pending,High,No,Customer security wants SOC2 report and subprocessor list.
ACT-0022-02,CRM-0022,Send security docs today,AE,today,2026-04-23,High,legal_security_review,DPA closure pending,High,No,LegalOps should review redline when received; AE to send security docs today.
ACT-0023-01,CRM-0023,"Pricing range, implementation timeline and whether CRM sync works with their current setup",AE,,,Medium,pricing_quote,Early-stage info request,Medium,Yes,"Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup."
ACT-0023-02,CRM-0023,Send intro pack and rough pricing band; SE only needed if they reply with connector details,AE,,,Medium,pricing_quote,Early-stage info request,Medium,Yes,AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.
ACT-0024-01,CRM-0024,Quarterly payments; current quote assumes annual upfront,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Customer wants quarterly payments; current quote assumes annual upfront.
ACT-0024-02,CRM-0024,Contract start date to align with July 1,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Also asked for contract start date to align with July 1.
ACT-0025-01,CRM-0025,Notes from last year mention integration gap but current buyer says they only need reporting module now,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Notes from last year mention integration gap but current buyer says they only need reporting module now.
ACT-0025-02,CRM-0025,Confirm use case in writing and ask if previous security review can be reused,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Need AE to confirm use case in writing and ask if previous security review can be reused.
ACT-0026-01,CRM-0026,Update stage and,AE,today,2026-04-27,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0026-02,CRM-0026,Upload latest email proof,AE,today,2026-04-27,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0027-01,CRM-0027,'automation + dashboards',AE,,,Medium,account_research,Insufficient partner context,Medium,Yes,Partner says client wants 'automation + dashboards' but no exact workflow captured.
ACT-0027-02,CRM-0027,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting,AE,,,Medium,account_research,Insufficient partner context,Medium,Yes,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting.
ACT-0028-01,CRM-0028,Send technical sheet by Fri and,SE-02,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0028-02,CRM-0028,Share revised commercial pack after that,SE-02,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0029-01,CRM-0029,A shorter workflow demo using their renewal example,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Demo recap - buying team asked for a shorter workflow demo using their renewal example.
ACT-0029-02,CRM-0029,Send a 1-page recap,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0029-03,CRM-0029,Confirm whether connector setup needs admin rights,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0029-04,CRM-0029,Keep pricing out of the recap email,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Also asked to keep pricing out of the recap email.
ACT-0030-01,CRM-0030,Need billing clarification before renewal quote is reissued,AE,by Wednesday,2026-05-06,High,renewal_commercial,Billing clarification,High,No,Need billing clarification before renewal quote is reissued.
ACT-0030-02,CRM-0030,Send renewal proposal by Wednesday if billing confirms,AE,by Wednesday,2026-05-06,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms.
ACT-0030-03,CRM-0030,Final numbers before month-end,AE,month-end,2026-05-31,High,renewal_commercial,Billing clarification,High,No,Customer wants final numbers before month-end.
ACT-0031-01,CRM-0031,Customer references from similar saas operations accounts and want a simple ROI summary,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,They asked for customer references from similar saas operations accounts and want a simple ROI summary.
ACT-0031-02,CRM-0031,Annual billing is mandatory,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,"No pricing objection yet, but procurement asked if annual billing is mandatory."
ACT-0031-03,CRM-0031,Follow up next Tue,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,Follow up next Tue.
ACT-0032-01,CRM-0032,Send new quote today,AE,today,2026-05-04,High,pricing_quote,Quote revision,High,Yes,AE should send new quote today.
ACT-0032-02,CRM-0032,"Answer hosting region question, not urgent",AE,not urgent,,High,pricing_quote,Quote revision,Medium,Yes,"SE maybe needs to answer hosting region question, not urgent."
ACT-0032-03,CRM-0032,Follow-up call tentatively Friday 4pm,AE,Friday 4pm,2026-05-08,High,pricing_quote,Quote revision,High,Yes,Follow-up call tentatively Friday 4pm but not confirmed.
ACT-0033-01,CRM-0033,Complete vendor portal fields,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0033-02,CRM-0033,Tell champion that PO timeline depends on portal approval,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0033-03,CRM-0033,Confirmation once portal status changes,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,Customer wants confirmation once portal status changes.
ACT-0034-01,CRM-0034,Import template and sample dashboard config,SE,Thursday,2026-05-07,High,demo_pilot,Pilot enablement,High,No,Pilot users asked for import template and sample dashboard config.
ACT-0034-02,CRM-0034,Send import template before Thursday and,SE,Thursday,2026-05-07,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0034-03,CRM-0034,Schedule pilot check-in next week,SE,Thursday,2026-05-07,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0035-01,CRM-0035,Dashboard export sample and list of current API limits,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Customer asked for dashboard export sample and list of current API limits.
ACT-0035-02,CRM-0035,Also need internal decision on whether custom report is included in current package,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Also need internal decision on whether custom report is included in current package.
ACT-0036-01,CRM-0036,SOC2 report and subprocessor list,AE,tomorrow,2026-05-08,High,legal_security_review,DPA closure pending,High,No,Customer security wants SOC2 report and subprocessor list.
ACT-0036-02,CRM-0036,Send security docs today,AE,today,2026-05-07,High,legal_security_review,DPA closure pending,High,No,LegalOps should review redline when received; AE to send security docs today.
ACT-0037-01,CRM-0037,"Pricing range, implementation timeline and whether CRM sync works with their current setup",AE,,,Medium,pricing_quote,Early-stage info request,Medium,Yes,"Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup."
ACT-0037-02,CRM-0037,Send intro pack and rough pricing band; SE only needed if they reply with connector details,AE,,,Medium,pricing_quote,Early-stage info request,Medium,Yes,AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.
ACT-0038-01,CRM-0038,Quarterly payments; current quote assumes annual upfront,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Customer wants quarterly payments; current quote assumes annual upfront.
ACT-0038-02,CRM-0038,Contract start date to align with July 1,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Also asked for contract start date to align with July 1.
ACT-0039-01,CRM-0039,Notes from last year mention integration gap but current buyer says they only need reporting module now,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Notes from last year mention integration gap but current buyer says they only need reporting module now.
ACT-0039-02,CRM-0039,Confirm use case in writing and ask if previous security review can be reused,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Need AE to confirm use case in writing and ask if previous security review can be reused.
ACT-0040-01,CRM-0040,Update stage and,AE,today,2026-05-11,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0040-02,CRM-0040,Upload latest email proof,AE,today,2026-05-11,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0041-01,CRM-0041,'automation + dashboards',AE,,,Medium,account_research,Insufficient partner context,Medium,Yes,Partner says client wants 'automation + dashboards' but no exact workflow captured.
ACT-0041-02,CRM-0041,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting,AE,,,Medium,account_research,Insufficient partner context,Medium,Yes,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting.
ACT-0042-01,CRM-0042,Send technical sheet by Fri and,AE-02,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0042-02,CRM-0042,Share revised commercial pack after that,AE-02,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0043-01,CRM-0043,A shorter workflow demo using their renewal example,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Demo recap - buying team asked for a shorter workflow demo using their renewal example.
ACT-0043-02,CRM-0043,Send a 1-page recap,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0043-03,CRM-0043,Confirm whether connector setup needs admin rights,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0043-04,CRM-0043,Keep pricing out of the recap email,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Also asked to keep pricing out of the recap email.
ACT-0044-01,CRM-0044,Need billing clarification before renewal quote is reissued,AE,by Wednesday,2026-05-20,High,renewal_commercial,Billing clarification,High,No,Need billing clarification before renewal quote is reissued.
ACT-0044-02,CRM-0044,Send renewal proposal by Wednesday if billing confirms,AE,by Wednesday,2026-05-20,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms.
ACT-0044-03,CRM-0044,Final numbers before month-end,AE,month-end,2026-05-31,High,renewal_commercial,Billing clarification,High,No,Customer wants final numbers before month-end.
ACT-0045-01,CRM-0045,Customer references from similar retail operations accounts and want a simple ROI summary,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,They asked for customer references from similar retail operations accounts and want a simple ROI summary.
ACT-0045-02,CRM-0045,Annual billing is mandatory,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,"No pricing objection yet, but procurement asked if annual billing is mandatory."
ACT-0045-03,CRM-0045,Follow up next Tue,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,Follow up next Tue.
ACT-0046-01,CRM-0046,Send new quote today,AE,today,2026-05-18,High,pricing_quote,Quote revision,High,Yes,AE should send new quote today.
ACT-0046-02,CRM-0046,"Answer hosting region question, not urgent",AE,not urgent,,High,pricing_quote,Quote revision,Medium,Yes,"SE maybe needs to answer hosting region question, not urgent."
ACT-0046-03,CRM-0046,Follow-up call tentatively Friday 4pm,AE,Friday 4pm,2026-05-22,High,pricing_quote,Quote revision,High,Yes,Follow-up call tentatively Friday 4pm but not confirmed.
ACT-0047-01,CRM-0047,Complete vendor portal fields,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0047-02,CRM-0047,Tell champion that PO timeline depends on portal approval,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0047-03,CRM-0047,Confirmation once portal status changes,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,Customer wants confirmation once portal status changes.
ACT-0048-01,CRM-0048,Import template and sample dashboard config,SE,Thursday,2026-05-21,High,demo_pilot,Pilot enablement,High,No,Pilot users asked for import template and sample dashboard config.
ACT-0048-02,CRM-0048,Send import template before Thursday and,SE,Thursday,2026-05-21,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0048-03,CRM-0048,Schedule pilot check-in next week,SE,Thursday,2026-05-21,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0049-01,CRM-0049,Dashboard export sample and list of current API limits,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Customer asked for dashboard export sample and list of current API limits.
ACT-0049-02,CRM-0049,Also need internal decision on whether custom report is included in current package,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Also need internal decision on whether custom report is included in current package.
ACT-0050-01,CRM-0050,SOC2 report and subprocessor list,AE,tomorrow,2026-05-22,High,legal_security_review,DPA closure pending,High,No,Customer security wants SOC2 report and subprocessor list.
ACT-0050-02,CRM-0050,Send security docs today,AE,today,2026-05-21,High,legal_security_review,DPA closure pending,High,No,LegalOps should review redline when received; AE to send security docs today.
ACT-0051-01,CRM-0051,"Pricing range, implementation timeline and whether CRM sync works with their current setup",AE,,,Medium,pricing_quote,Early-stage info request,Medium,Yes,"Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup."
ACT-0051-02,CRM-0051,Send intro pack and rough pricing band; SE only needed if they reply with connector details,AE,,,Medium,pricing_quote,Early-stage info request,Medium,Yes,AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.
ACT-0052-01,CRM-0052,Quarterly payments; current quote assumes annual upfront,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Customer wants quarterly payments; current quote assumes annual upfront.
ACT-0052-02,CRM-0052,Contract start date to align with July 1,AE,,,Medium,pricing_quote,Payment exception approval,Medium,Yes,Also asked for contract start date to align with July 1.
ACT-0053-01,CRM-0053,Notes from last year mention integration gap but current buyer says they only need reporting module now,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Notes from last year mention integration gap but current buyer says they only need reporting module now.
ACT-0053-02,CRM-0053,Confirm use case in writing and ask if previous security review can be reused,AE,,,Medium,technical_clarification,Reopened opportunity context,Medium,Yes,Need AE to confirm use case in writing and ask if previous security review can be reused.
ACT-0054-01,CRM-0054,Update stage and,AE,today,2026-05-25,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0054-02,CRM-0054,Upload latest email proof,AE,today,2026-05-25,High,procurement_vendor_setup,CRM stage update,High,No,Need RevOps to update stage and AE to upload latest email proof.
ACT-0055-01,CRM-0055,'automation + dashboards',AE,,,Medium,technical_clarification,Insufficient partner context,Medium,Yes,Partner says client wants 'automation + dashboards' but no exact workflow captured.
ACT-0055-02,CRM-0055,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting,AE,,,Medium,technical_clarification,Insufficient partner context,Medium,Yes,Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting.
ACT-0056-01,CRM-0056,Send technical sheet by Fri and,SE-02,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0056-02,CRM-0056,Share revised commercial pack after that,SE-02,,,Medium,technical_clarification,Security questionnaire pending,Medium,Yes,Need SE to send technical sheet by Fri and AE to share revised commercial pack after that.
ACT-0057-01,CRM-0057,A shorter workflow demo using their renewal example,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Demo recap - buying team asked for a shorter workflow demo using their renewal example.
ACT-0057-02,CRM-0057,Send a 1-page recap,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0057-03,CRM-0057,Confirm whether connector setup needs admin rights,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0057-04,CRM-0057,Keep pricing out of the recap email,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Also asked to keep pricing out of the recap email.
ACT-0058-01,CRM-0058,Need billing clarification before renewal quote is reissued,AE,by Wednesday,2026-06-03,High,renewal_commercial,Billing clarification,High,No,Need billing clarification before renewal quote is reissued.
ACT-0058-02,CRM-0058,Send renewal proposal by Wednesday if billing confirms,AE,by Wednesday,2026-06-03,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms.
ACT-0058-03,CRM-0058,Final numbers before month-end,AE,month-end,2026-05-31,High,renewal_commercial,Billing clarification,High,No,Customer wants final numbers before month-end.
ACT-0059-01,CRM-0059,Customer references from similar real estate services accounts and want a simple ROI summary,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,They asked for customer references from similar real estate services accounts and want a simple ROI summary.
ACT-0059-02,CRM-0059,Annual billing is mandatory,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,"No pricing objection yet, but procurement asked if annual billing is mandatory."
ACT-0059-03,CRM-0059,Follow up next Tue,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,Follow up next Tue.
ACT-0060-01,CRM-0060,Send new quote today,AE,today,2026-06-01,High,pricing_quote,Quote revision,High,Yes,AE should send new quote today.
