note_id,crm_ready_summary,primary_follow_up_category,overall_priority,manual_review_required,reason_for_review
CRM-0013,Account-FQL-1013 requires 2 follow-up item(s) after account review. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0014,Account-FQL-1014 requires 3 follow-up item(s) after procurement update. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0015,Account-FQL-1015 requires 2 follow-up item(s) after procurement update. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0016,Account-FQL-1016 requires 2 follow-up item(s) after demo follow-up. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0017,Account-FQL-1017 requires 3 follow-up item(s) after technical clarification call. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0018,Account-FQL-1018 requires 3 follow-up item(s) after demo follow-up. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0019,Account-FQL-1019 requires 3 follow-up item(s) after account review. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0020,Account-FQL-1020 requires 2 follow-up item(s) after technical clarification call. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0021,Account-FQL-1021 requires 3 follow-up item(s) after sales call. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0022,Account-FQL-1022 requires 2 follow-up item(s) after sales call. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0023,Account-FQL-1023 requires 2 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0024,Account-FQL-1024 requires 2 follow-up item(s) after renewal check-in. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0025,Account-FQL-1025 requires 2 follow-up item(s) after demo follow-up. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0026,Account-FQL-1026 requires 2 follow-up item(s) after email summary. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0027,Account-FQL-1027 requires 2 follow-up item(s) after partner handover. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0028,Account-FQL-1028 requires 3 follow-up item(s) after email summary. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0029,Account-FQL-1029 requires 2 follow-up item(s) after email summary. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0030,Account-FQL-1030 requires 2 follow-up item(s) after partner handover. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0031,Account-FQL-1031 requires 3 follow-up item(s) after partner handover. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0032,Account-FQL-1032 requires 3 follow-up item(s) after demo follow-up. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0033,Account-FQL-1033 requires 3 follow-up item(s) after renewal check-in. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0034,Account-FQL-1034 requires 2 follow-up item(s) after technical clarification call. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0035,Account-FQL-1035 requires 3 follow-up item(s) after procurement update. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0036,Account-FQL-1036 requires 2 follow-up item(s) after partner handover. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0037,Account-FQL-1037 requires 2 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0038,Account-FQL-1038 requires 2 follow-up item(s) after renewal check-in. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0039,Account-FQL-1039 requires 2 follow-up item(s) after sales call. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0040,Account-FQL-1040 requires 2 follow-up item(s) after internal pipeline review. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0041,Account-FQL-1041 requires 2 follow-up item(s) after partner handover. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0042,Account-FQL-1042 requires 3 follow-up item(s) after renewal check-in. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0043,Account-FQL-1043 requires 2 follow-up item(s) after account review. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0044,Account-FQL-1044 requires 2 follow-up item(s) after account review. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0045,Account-FQL-1045 requires 3 follow-up item(s) after procurement update. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0046,Account-FQL-1046 requires 3 follow-up item(s) after procurement update. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0047,Account-FQL-1047 requires 3 follow-up item(s) after account review. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0048,Account-FQL-1048 requires 2 follow-up item(s) after partner handover. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0049,Account-FQL-1049 requires 3 follow-up item(s) after partner handover. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0050,Account-FQL-1050 requires 2 follow-up item(s) after technical clarification call. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0051,Account-FQL-1051 requires 2 follow-up item(s) after account review. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0052,Account-FQL-1052 requires 2 follow-up item(s) after procurement update. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0053,Account-FQL-1053 requires 2 follow-up item(s) after email summary. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0054,Account-FQL-1054 requires 2 follow-up item(s) after procurement update. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0055,Account-FQL-1055 requires 2 follow-up item(s) after demo follow-up. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0056,Account-FQL-1056 requires 3 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0057,Account-FQL-1057 requires 2 follow-up item(s) after email summary. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0058,Account-FQL-1058 requires 2 follow-up item(s) after email summary. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0059,Account-FQL-1059 requires 3 follow-up item(s) after email summary. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0060,Account-FQL-1060 requires 3 follow-up item(s) after account review. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0061,Account-FQL-1061 requires 3 follow-up item(s) after partner handover. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0062,Account-FQL-1062 requires 2 follow-up item(s) after internal pipeline review. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0063,Account-FQL-1063 requires 3 follow-up item(s) after renewal check-in. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0064,Account-FQL-1064 requires 2 follow-up item(s) after email summary. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0065,Account-FQL-1065 requires 2 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0066,Account-FQL-1066 requires 2 follow-up item(s) after technical clarification call. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0067,Account-FQL-1067 requires 2 follow-up item(s) after sales call. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0068,Account-FQL-1068 requires 2 follow-up item(s) after account review. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0069,Account-FQL-1069 requires 2 follow-up item(s) after account review. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0070,Account-FQL-1070 requires 3 follow-up item(s) after internal pipeline review. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0071,Account-FQL-1071 requires 2 follow-up item(s) after demo follow-up. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0072,Account-FQL-1072 requires 2 follow-up item(s) after partner handover. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0073,Account-FQL-1073 requires 3 follow-up item(s) after email summary. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0074,Account-FQL-1074 requires 3 follow-up item(s) after internal pipeline review. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0075,Account-FQL-1075 requires 3 follow-up item(s) after email summary. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0076,Account-FQL-1076 requires 2 follow-up item(s) after renewal check-in. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0077,Account-FQL-1077 requires 3 follow-up item(s) after renewal check-in. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0078,Account-FQL-1078 requires 2 follow-up item(s) after email summary. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0079,Account-FQL-1079 requires 2 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0080,Account-FQL-1080 requires 2 follow-up item(s) after procurement update. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0081,Account-FQL-1081 requires 2 follow-up item(s) after renewal check-in. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0082,Account-FQL-1082 requires 2 follow-up item(s) after account review. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0083,Account-FQL-1083 requires 2 follow-up item(s) after email summary. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0084,Account-FQL-1084 requires 3 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0085,Account-FQL-1085 requires 2 follow-up item(s) after sales call. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0086,Account-FQL-1086 requires 2 follow-up item(s) after renewal check-in. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0087,Account-FQL-1087 requires 3 follow-up item(s) after sales call. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0088,Account-FQL-1088 requires 3 follow-up item(s) after renewal check-in. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0089,Account-FQL-1089 requires 3 follow-up item(s) after email summary. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0090,Account-FQL-1090 requires 2 follow-up item(s) after renewal check-in. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0091,Account-FQL-1091 requires 3 follow-up item(s) after account review. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0092,Account-FQL-1092 requires 2 follow-up item(s) after procurement update. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0093,Account-FQL-1093 requires 2 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0094,Account-FQL-1094 requires 2 follow-up item(s) after procurement update. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0095,Account-FQL-1095 requires 2 follow-up item(s) after internal pipeline review. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0096,Account-FQL-1096 requires 2 follow-up item(s) after demo follow-up. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0097,Account-FQL-1097 requires 2 follow-up item(s) after sales call. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is High; manual review: Yes.,account_research,High,Yes,Multiple owners are unclear and workflow context is incomplete.
CRM-0098,Account-FQL-1098 requires 3 follow-up item(s) after sales call. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is High; manual review: No.,technical_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0099,Account-FQL-1099 requires 2 follow-up item(s) after email summary. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0100,Account-FQL-1100 requires 2 follow-up item(s) after demo follow-up. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
