action_id,note_id,action_text,suggested_owner,timing_reference,due_date_iso,priority,follow_up_category,blocker_dependency,confidence,manual_review_required,supporting_text
ACT-0041-01,CRM-0041,Ask partner for discovery call notes,,not specified,,High,account_research,Insufficient partner context,Low,Yes,Need someone to ask partner for notes from discovery call
ACT-0041-02,CRM-0041,Confirm owner for next customer meeting,,not specified,,High,meeting_scheduling,Owner unclear,Low,Yes,confirm who owns next customer meeting
ACT-0042-01,CRM-0042,Send SSO and data-retention technical sheet,SE-01,by Fri,2026-05-15,High,technical_clarification,Security questionnaire pending,High,No,Need SE to send technical sheet by Fri
ACT-0042-02,CRM-0042,Share revised commercial pack after technical sheet is sent,AE-02,after technical sheet,,High,pricing_quote,Security questionnaire pending,Medium,No,AE to share revised commercial pack after that
ACT-0042-03,CRM-0042,Confirm procurement form status,RevOps-01,next week,2026-05-18,Medium,procurement_vendor_setup,Procurement form not started,High,No,Procurement form not started yet
ACT-0043-01,CRM-0043,Send one-page demo recap without pricing details,,early next week,,Medium,demo_pilot,,Medium,Yes,Champion asked if we can send a 1-page recap
ACT-0043-02,CRM-0043,Confirm whether connector setup requires admin rights,SE-02,early next week,,Medium,technical_clarification,,Medium,No,confirm whether connector setup needs admin rights
ACT-0044-01,CRM-0044,Clarify one-time onboarding line item on prior invoice,RevOps-01,before Wednesday,2026-05-19,High,billing_clarification,Billing clarification,High,No,Need billing clarification before renewal quote is reissued
ACT-0044-02,CRM-0044,Send revised renewal proposal,AE-02,by Wednesday,2026-05-20,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms
ACT-0045-01,CRM-0045,Send customer references from similar retail operations accounts,AE-03,next Tue,2026-05-19,Medium,account_research,Competitive review,High,No,asked for customer references from similar retail operations accounts
ACT-0045-02,CRM-0045,Prepare simple ROI summary,AE-03,next Tue,2026-05-19,Medium,proposal_collateral,Competitive review,High,No,want a simple ROI summary
ACT-0045-03,CRM-0045,Confirm whether annual billing is mandatory,RevOps-01,next Tue,2026-05-19,Medium,pricing_quote,,High,No,procurement asked if annual billing is mandatory
ACT-0046-01,CRM-0046,Send revised quote for 75 seats,AE-01,today,2026-05-18,High,pricing_quote,Quote revision,High,No,AE should send new quote today
ACT-0046-02,CRM-0046,Answer hosting/data residency region question,SE-01,not urgent,,Low,technical_clarification,,Medium,No,SE maybe needs to answer hosting region question
ACT-0046-03,CRM-0046,Confirm Friday 4pm follow-up call,AE-01,Friday 4pm tentative,2026-05-22,Medium,meeting_scheduling,,Medium,Yes,tentatively Friday 4pm but not confirmed
ACT-0047-01,CRM-0047,Complete vendor portal fields and upload tax/bank documents,RevOps-01,as soon as possible,,High,procurement_vendor_setup,Vendor registration incomplete,High,No,RevOps to complete vendor portal fields
ACT-0047-02,CRM-0047,Inform champion that PO timeline depends on portal approval,AE-02,after portal update,,Medium,procurement_vendor_setup,Portal approval pending,High,No,AE to tell champion that PO timeline depends on portal approval
ACT-0047-03,CRM-0047,Notify customer once portal status changes,RevOps-01,when status changes,,Medium,procurement_vendor_setup,Portal approval pending,Medium,No,Customer wants confirmation once portal status changes
ACT-0048-01,CRM-0048,Send import template and sample dashboard configuration,SE-02,before Thursday,2026-05-21,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday
ACT-0048-02,CRM-0048,Schedule pilot check-in,CSM-01,next week,2026-05-25,Medium,meeting_scheduling,Limited admin bandwidth,High,No,CSM to schedule pilot check-in next week
ACT-0049-01,CRM-0049,Share dashboard export sample,AE-03,date not mentioned,,Medium,proposal_collateral,Reporting gaps,Medium,Yes,asked for dashboard export sample
ACT-0049-02,CRM-0049,Send list of current API limits,SE-01,date not mentioned,,Medium,technical_clarification,Reporting gaps,Medium,Yes,list of current API limits
ACT-0049-03,CRM-0049,Confirm whether custom report is included in current package,RevOps-01,before next customer reply,,High,internal_approval,Package scope unclear,Medium,No,need internal decision on whether custom report is included
ACT-0050-01,CRM-0050,Send SOC2 report and subprocessor list,AE-01,today,2026-05-21,High,legal_security_review,DPA closure pending,High,No,AE to send security docs today
ACT-0050-02,CRM-0050,Review DPA redline once received,LegalOps,when redline is received,,High,legal_security_review,DPA closure pending,High,No,LegalOps should review redline when received
ACT-0051-01,CRM-0051,Send intro pack and rough pricing band,AE-02,not specified,,Medium,pricing_quote,Early-stage info request,Medium,No,AE to send intro pack and rough pricing band
ACT-0051-02,CRM-0051,Confirm CRM sync feasibility if connector details are shared,SE-02,conditional on prospect reply,,Low,technical_clarification,Connector details not shared,Medium,No,SE only needed if they reply with connector details
ACT-0052-01,CRM-0052,Request approval for quarterly payment exception,Manager-01,before AE responds,,High,internal_approval,Payment exception approval,High,No,Sales manager needs to approve exception before AE responds
ACT-0052-02,CRM-0052,Update contract start date to July 1 after approval,AE-03,after approval,2026-07-01,Medium,pricing_quote,Payment exception approval,Medium,No,asked for contract start date to align with July 1
ACT-0053-01,CRM-0053,Confirm current use case in writing,AE-02,not specified,,Medium,account_research,Reopened opportunity context,High,No,Need AE to confirm use case in writing
ACT-0053-02,CRM-0053,Ask whether previous security review can be reused,,not specified,,Medium,legal_security_review,Owner not listed,Low,Yes,No action owner listed for security reuse question
ACT-0054-01,CRM-0054,Update CRM stage to Procurement,RevOps-01,today,2026-05-25,High,crm_update,CRM stage update,High,No,Need RevOps to update stage
ACT-0054-02,CRM-0054,Upload latest champion email proof to CRM,AE-02,today,2026-05-25,High,crm_update,CRM evidence missing,High,No,AE to upload latest email proof
ACT-0055-01,CRM-0055,Ask partner for discovery call notes,,not specified,,High,account_research,Insufficient partner context,Low,Yes,Need someone to ask partner for notes from discovery call
ACT-0055-02,CRM-0055,Confirm owner for next customer meeting,,not specified,,High,meeting_scheduling,Owner unclear,Low,Yes,confirm who owns next customer meeting
ACT-0056-01,CRM-0056,Send SSO and data-retention technical sheet,SE-01,by Fri,2026-05-29,High,technical_clarification,Security questionnaire pending,High,No,Need SE to send technical sheet by Fri
ACT-0056-02,CRM-0056,Share revised commercial pack after technical sheet is sent,AE-01,after technical sheet,,High,pricing_quote,Security questionnaire pending,Medium,No,AE to share revised commercial pack after that
ACT-0056-03,CRM-0056,Confirm procurement form status,RevOps-01,next week,2026-06-01,Medium,procurement_vendor_setup,Procurement form not started,High,No,Procurement form not started yet
ACT-0057-01,CRM-0057,Send one-page demo recap without pricing details,,early next week,,Medium,demo_pilot,,Medium,Yes,Champion asked if we can send a 1-page recap
ACT-0057-02,CRM-0057,Confirm whether connector setup requires admin rights,SE-02,early next week,,Medium,technical_clarification,,Medium,No,confirm whether connector setup needs admin rights
ACT-0058-01,CRM-0058,Clarify one-time onboarding line item on prior invoice,RevOps-01,before Wednesday,2026-06-02,High,billing_clarification,Billing clarification,High,No,Need billing clarification before renewal quote is reissued
ACT-0058-02,CRM-0058,Send revised renewal proposal,AE-02,by Wednesday,2026-06-03,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms
ACT-0059-01,CRM-0059,Send customer references from similar real estate services accounts,AE-03,next Tue,2026-06-02,Medium,account_research,Competitive review,High,No,asked for customer references from similar real estate services accounts
ACT-0059-02,CRM-0059,Prepare simple ROI summary,AE-03,next Tue,2026-06-02,Medium,proposal_collateral,Competitive review,High,No,want a simple ROI summary
ACT-0059-03,CRM-0059,Confirm whether annual billing is mandatory,RevOps-01,next Tue,2026-06-02,Medium,pricing_quote,,High,No,procurement asked if annual billing is mandatory
ACT-0060-01,CRM-0060,Send revised quote for 75 seats,AE-01,today,2026-06-01,High,pricing_quote,Quote revision,High,No,AE should send new quote today
ACT-0060-02,CRM-0060,Answer hosting/data residency region question,SE-01,not urgent,,Low,technical_clarification,,Medium,No,SE maybe needs to answer hosting region question
ACT-0060-03,CRM-0060,Confirm Friday 4pm follow-up call,AE-01,Friday 4pm tentative,2026-06-05,Medium,meeting_scheduling,,Medium,Yes,tentatively Friday 4pm but not confirmed
ACT-0061-01,CRM-0061,Complete vendor portal fields and upload tax/bank documents,RevOps-01,as soon as possible,,High,procurement_vendor_setup,Vendor registration incomplete,High,No,RevOps to complete vendor portal fields
ACT-0061-02,CRM-0061,Inform champion that PO timeline depends on portal approval,AE-02,after portal update,,Medium,procurement_vendor_setup,Portal approval pending,High,No,AE to tell champion that PO timeline depends on portal approval
ACT-0061-03,CRM-0061,Notify customer once portal status changes,RevOps-01,when status changes,,Medium,procurement_vendor_setup,Portal approval pending,Medium,No,Customer wants confirmation once portal status changes
ACT-0062-01,CRM-0062,Send import template and sample dashboard configuration,SE-02,before Thursday,2026-06-04,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday
ACT-0062-02,CRM-0062,Schedule pilot check-in,CSM-01,next week,2026-06-08,Medium,meeting_scheduling,Limited admin bandwidth,High,No,CSM to schedule pilot check-in next week
ACT-0063-01,CRM-0063,Share dashboard export sample,AE-03,date not mentioned,,Medium,proposal_collateral,Reporting gaps,Medium,Yes,asked for dashboard export sample
ACT-0063-02,CRM-0063,Send list of current API limits,SE-01,date not mentioned,,Medium,technical_clarification,Reporting gaps,Medium,Yes,list of current API limits
ACT-0063-03,CRM-0063,Confirm whether custom report is included in current package,RevOps-01,before next customer reply,,High,internal_approval,Package scope unclear,Medium,No,need internal decision on whether custom report is included
ACT-0064-01,CRM-0064,Send SOC2 report and subprocessor list,AE-01,today,2026-06-04,High,legal_security_review,DPA closure pending,High,No,AE to send security docs today
ACT-0064-02,CRM-0064,Review DPA redline once received,LegalOps,when redline is received,,High,legal_security_review,DPA closure pending,High,No,LegalOps should review redline when received
ACT-0065-01,CRM-0065,Send intro pack and rough pricing band,AE-01,not specified,,Medium,pricing_quote,Early-stage info request,Medium,No,AE to send intro pack and rough pricing band
ACT-0065-02,CRM-0065,Confirm CRM sync feasibility if connector details are shared,SE-02,conditional on prospect reply,,Low,technical_clarification,Connector details not shared,Medium,No,SE only needed if they reply with connector details
ACT-0066-01,CRM-0066,Request approval for quarterly payment exception,Manager-01,before AE responds,,High,internal_approval,Payment exception approval,High,No,Sales manager needs to approve exception before AE responds
ACT-0066-02,CRM-0066,Update contract start date to July 1 after approval,AE-03,after approval,2026-07-01,Medium,pricing_quote,Payment exception approval,Medium,No,asked for contract start date to align with July 1
ACT-0067-01,CRM-0067,Confirm current use case in writing,AE-01,not specified,,Medium,account_research,Reopened opportunity context,High,No,Need AE to confirm use case in writing
ACT-0067-02,CRM-0067,Ask whether previous security review can be reused,,not specified,,Medium,legal_security_review,Owner not listed,Low,Yes,No action owner listed for security reuse question
ACT-0068-01,CRM-0068,Update CRM stage to Procurement,RevOps-01,today,2026-06-08,High,crm_update,CRM stage update,High,No,Need RevOps to update stage
ACT-0068-02,CRM-0068,Upload latest champion email proof to CRM,AE-03,today,2026-06-08,High,crm_update,CRM evidence missing,High,No,AE to upload latest email proof
ACT-0069-01,CRM-0069,Ask partner for discovery call notes,,not specified,,High,account_research,Insufficient partner context,Low,Yes,Need someone to ask partner for notes from discovery call
ACT-0069-02,CRM-0069,Confirm owner for next customer meeting,,not specified,,High,meeting_scheduling,Owner unclear,Low,Yes,confirm who owns next customer meeting
ACT-0070-01,CRM-0070,Send SSO and data-retention technical sheet,SE-01,by Fri,2026-06-12,High,technical_clarification,Security questionnaire pending,High,No,Need SE to send technical sheet by Fri
ACT-0070-02,CRM-0070,Share revised commercial pack after technical sheet is sent,AE-01,after technical sheet,,High,pricing_quote,Security questionnaire pending,Medium,No,AE to share revised commercial pack after that
ACT-0070-03,CRM-0070,Confirm procurement form status,RevOps-01,next week,2026-06-15,Medium,procurement_vendor_setup,Procurement form not started,High,No,Procurement form not started yet
ACT-0071-01,CRM-0071,Send one-page demo recap without pricing details,,early next week,,Medium,demo_pilot,,Medium,Yes,Champion asked if we can send a 1-page recap
ACT-0071-02,CRM-0071,Confirm whether connector setup requires admin rights,SE-02,early next week,,Medium,technical_clarification,,Medium,No,confirm whether connector setup needs admin rights
ACT-0072-01,CRM-0072,Clarify one-time onboarding line item on prior invoice,RevOps-01,before Wednesday,2026-06-16,High,billing_clarification,Billing clarification,High,No,Need billing clarification before renewal quote is reissued
ACT-0072-02,CRM-0072,Send revised renewal proposal,AE-01,by Wednesday,2026-06-17,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms
ACT-0073-01,CRM-0073,Send customer references from similar education services accounts,AE-03,next Tue,2026-06-16,Medium,account_research,Competitive review,High,No,asked for customer references from similar education services accounts
