note_id,account_alias,industry_segment,region,interaction_date,interaction_type,opportunity_stage,note_author_role,crm_owner,product_interest_area,estimated_deal_band,source_channel,note_body,current_blocker_tag,existing_next_action_field
CRM-0023,Account-FQL-1023,SaaS Operations,MEA,2026-04-24,Email Summary,Commercial Review,CSM,Manager-01,AI Document Assistant,250K+,Pipeline review note,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0024,Account-FQL-1024,Retail Operations,APAC,2026-04-27,Renewal Check-in,Legal/Security Review,AE,AE-02,Data Connector,50K-100K,Pipeline review note,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0025,Account-FQL-1025,Education Services,APAC,2026-04-27,Demo Follow-up,Discovery,AE,SE-02,Agentic Task Routing,<25K,Call summary,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0026,Account-FQL-1026,Retail Operations,MEA,2026-04-27,Email Summary,Renewal Review,CSM,SE-02,AI Document Assistant,50K-100K,Pipeline review note,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0027,Account-FQL-1027,Retail Operations,India-South,2026-04-28,Partner Handover,Pilot,AE,AE-01,Workflow Automation,<25K,Call summary,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0028,Account-FQL-1028,Healthcare Operations,US-West,2026-04-29,Email Summary,Pilot,CSM,SE-02,Workflow Automation,25K-50K,Pipeline review note,Call w/ ops lead. They liked the Workflow Automation flow but are waiting on InfoSec notes before moving proposal ahead. SE-02 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
CRM-0029,Account-FQL-1029,Manufacturing,US-West,2026-04-30,Email Summary,Commercial Review,RevOps,SE-02,Reporting Suite,25K-50K,Call summary,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0030,Account-FQL-1030,Logistics,MEA,2026-05-01,Partner Handover,Discovery,AE,SE-01,Workflow Automation,<25K,Pipeline review note,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0031,Account-FQL-1031,SaaS Operations,India-North,2026-05-04,Partner Handover,Discovery,AE,AE-03,Analytics Dashboard,250K+,CRM note,"Pipeline note: Account-FQL-1031 still comparing two vendors. They asked for customer references from similar saas operations accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0032,Account-FQL-1032,Real Estate Services,MEA,2026-05-04,Demo Follow-up,Legal/Security Review,Sales Manager,CSM-01,Workflow Automation,250K+,CRM note,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0033,Account-FQL-1033,Education Services,US-East,2026-05-04,Renewal Check-in,Commercial Review,RevOps,CSM-01,Knowledge Search,100K-250K,Call summary,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0034,Account-FQL-1034,Real Estate Services,UK,2026-05-05,Technical Clarification Call,Pilot,AE,AE-01,Reporting Suite,250K+,CRM note,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0035,Account-FQL-1035,B2B Services,MEA,2026-05-06,Procurement Update,Renewal Review,CSM,SE-01,Analytics Dashboard,25K-50K,Email copied to CRM,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0036,Account-FQL-1036,Logistics,India-North,2026-05-07,Partner Handover,Pilot,RevOps,Manager-01,Workflow Automation,250K+,Email copied to CRM,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
CRM-0037,Account-FQL-1037,Real Estate Services,India-South,2026-05-08,Procurement Update,Demo Completed,AE,AE-02,AI Document Assistant,50K-100K,Email copied to CRM,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0038,Account-FQL-1038,Professional Services,MEA,2026-05-11,Renewal Check-in,Procurement,RevOps,Manager-01,Reporting Suite,50K-100K,CRM note,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0039,Account-FQL-1039,B2B Services,US-West,2026-05-11,Sales Call,Commercial Review,AE,SE-01,AI Document Assistant,50K-100K,Call summary,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0040,Account-FQL-1040,Marketplace Operations,APAC,2026-05-11,Internal Pipeline Review,Renewal Review,Sales Manager,AE-01,Analytics Dashboard,<25K,Call summary,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0041,Account-FQL-1041,SaaS Operations,India-West,2026-05-12,Partner Handover,Procurement,CSM,SE-02,AI Document Assistant,<25K,Email copied to CRM,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0042,Account-FQL-1042,FinTech Services,India-West,2026-05-13,Renewal Check-in,Procurement,CSM,AE-02,Agentic Task Routing,250K+,Pipeline review note,Call w/ ops lead. They liked the Agentic Task Routing flow but are waiting on InfoSec notes before moving proposal ahead. AE-02 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
CRM-0043,Account-FQL-1043,Professional Services,India-North,2026-05-14,Account Review,Proposal Sent,CSM,SE-02,Workflow Automation,25K-50K,Email copied to CRM,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0044,Account-FQL-1044,Education Services,MEA,2026-05-15,Account Review,Commercial Review,AE,SE-02,Workflow Automation,100K-250K,Call summary,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0045,Account-FQL-1045,Retail Operations,APAC,2026-05-18,Procurement Update,Procurement,CSM,CSM-01,Workflow Automation,25K-50K,Pipeline review note,"Pipeline note: Account-FQL-1045 still comparing two vendors. They asked for customer references from similar retail operations accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0046,Account-FQL-1046,FinTech Services,UK,2026-05-18,Procurement Update,Demo Scheduled,RevOps,Manager-01,Data Connector,250K+,Email copied to CRM,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0047,Account-FQL-1047,Manufacturing,India-South,2026-05-18,Account Review,Commercial Review,Sales Manager,CSM-02,Workflow Automation,<25K,Pipeline review note,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0048,Account-FQL-1048,FinTech Services,US-East,2026-05-19,Partner Handover,Legal/Security Review,AE,SE-02,CRM Integration,50K-100K,CRM note,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0049,Account-FQL-1049,Marketplace Operations,US-West,2026-05-20,Partner Handover,Discovery,Sales Manager,CSM-01,Agentic Task Routing,100K-250K,CRM note,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0050,Account-FQL-1050,Real Estate Services,US-East,2026-05-21,Technical Clarification Call,Negotiation,AE,CSM-02,Knowledge Search,100K-250K,Email copied to CRM,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
CRM-0051,Account-FQL-1051,Education Services,UK,2026-05-22,Account Review,Renewal Review,CSM,SE-02,Data Connector,25K-50K,Email copied to CRM,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0052,Account-FQL-1052,Education Services,India-West,2026-05-25,Procurement Update,Commercial Review,CSM,SE-02,Agentic Task Routing,100K-250K,Pipeline review note,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0053,Account-FQL-1053,Insurance Operations,MEA,2026-05-25,Email Summary,Renewal Review,CSM,AE-02,Knowledge Search,250K+,Email copied to CRM,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0054,Account-FQL-1054,B2B Services,MEA,2026-05-25,Procurement Update,Closed-Lost Follow-up,CSM,CSM-01,AI Document Assistant,<25K,CRM note,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0055,Account-FQL-1055,Retail Operations,APAC,2026-05-26,Demo Follow-up,Negotiation,SE,SE-02,CRM Integration,100K-250K,Pipeline review note,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0056,Account-FQL-1056,Education Services,MEA,2026-05-27,Sales Call,Demo Completed,AE,SE-02,CRM Integration,25K-50K,Pipeline review note,Call w/ ops lead. They liked the CRM Integration flow but are waiting on InfoSec notes before moving proposal ahead. SE-02 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
CRM-0057,Account-FQL-1057,Manufacturing,MEA,2026-05-28,Email Summary,Demo Scheduled,CSM,RevOps-01,Agentic Task Routing,100K-250K,Pipeline review note,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0058,Account-FQL-1058,SaaS Operations,APAC,2026-05-29,Email Summary,Demo Completed,SE,CSM-02,CRM Integration,50K-100K,Pipeline review note,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0059,Account-FQL-1059,Real Estate Services,MEA,2026-06-01,Email Summary,Commercial Review,AE,CSM-02,CRM Integration,50K-100K,Email copied to CRM,"Pipeline note: Account-FQL-1059 still comparing two vendors. They asked for customer references from similar real estate services accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0060,Account-FQL-1060,FinTech Services,India-South,2026-06-01,Account Review,Demo Completed,CSM,SE-02,AI Document Assistant,25K-50K,CRM note,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0061,Account-FQL-1061,Education Services,US-West,2026-06-01,Partner Handover,Procurement,SE,SE-02,Workflow Automation,25K-50K,Pipeline review note,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0062,Account-FQL-1062,Education Services,India-West,2026-06-02,Internal Pipeline Review,Negotiation,SE,AE-01,Agentic Task Routing,50K-100K,Pipeline review note,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0063,Account-FQL-1063,Education Services,MEA,2026-06-03,Renewal Check-in,Pilot,RevOps,SE-02,Reporting Suite,<25K,Pipeline review note,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0064,Account-FQL-1064,FinTech Services,US-West,2026-06-04,Email Summary,Demo Completed,CSM,Manager-01,Workflow Automation,100K-250K,CRM note,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
CRM-0065,Account-FQL-1065,B2B Services,US-West,2026-06-05,Email Summary,Demo Completed,CSM,AE-01,Knowledge Search,100K-250K,Email copied to CRM,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0066,Account-FQL-1066,Retail Operations,APAC,2026-06-08,Technical Clarification Call,Procurement,SE,CSM-02,Data Connector,50K-100K,CRM note,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0067,Account-FQL-1067,Insurance Operations,India-West,2026-06-08,Sales Call,Renewal Review,RevOps,CSM-01,Analytics Dashboard,<25K,CRM note,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0068,Account-FQL-1068,Retail Operations,MEA,2026-06-08,Account Review,Discovery,CSM,AE-03,Reporting Suite,<25K,Call summary,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0069,Account-FQL-1069,Insurance Operations,UK,2026-06-09,Account Review,Procurement,Sales Manager,AE-02,AI Document Assistant,50K-100K,CRM note,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0070,Account-FQL-1070,Professional Services,India-West,2026-06-10,Internal Pipeline Review,Commercial Review,SE,CSM-01,Analytics Dashboard,250K+,Call summary,Call w/ ops lead. They liked the Analytics Dashboard flow but are waiting on InfoSec notes before moving proposal ahead. CSM-01 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
